Plot,TBA 2006 m2ha-1,TBA 2011 m2 ha-1,Total sand %,Clay %,Silt %,Coarse sand %,Fine sand %,Base saturation V% 0-20cm,clay+silt %,Fine sand+clay+silt,Areia Grossa,Base saturation V% 60-80cm,Canopy cover %,Canopy oppeness %,Transprecipitation 2006 %,soil humidity 0-20cm %,Diameter increment cm/yr
1,11.93,16.5961779,45.84,12.85,2.03,40.28,44.84,13.0,14.9,59.7,40.28,10.6,68.317,31.68,92.59,0.25,0.30
2,7.52,11.07007716,41.7,9.2,2.22,48.88,39.7,10.5,11.4,51.1,48.88,14.2,42.8,57.20,96.34,0.2,0.29
3,5.81,7.681476781,34.53,9.79,1.61,57.08,31.53,10.1,11.4,42.9,57.08,14.7,38.400,61.60,97.79,0.18,0.31
4,8.18,11.67850155,41.77,9.64,1.28,51.31,37.77,10.6,10.9,48.7,51.31,15.2,46.600,53.40,95.77,0.41,0.31
5,6.70,10.02848211,41.84,9.6,1.48,52.08,36.84,11.1,11.1,47.9,52.08,14.2,43.130,56.87,97.04,0.23,0.36
6,12.14,15.25078936,55.27,11.32,2.69,36.72,49.27,10.9,14.0,63.3,36.72,12.5,57.076,42.92,92.41,0.23,0.28
7,10.41,12.84792015,49.94,9.34,2.95,44.77,42.94,10.3,12.3,55.2,44.77,11.3,52.374,47.63,93.88,0.46,0.30
8,13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34
9,11.20,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31
10,15.51,18.81182539,52.74,9.53,2.82,44.92,42.74,9.3,12.4,55.1,44.92,12.5,70.069,29.93,89.55,0.59,0.28
11,4.75,8.682136873,41.51,8.68,1.79,59.03,30.51,10.1,10.5,41.0,59.03,13.7,60.400,39.60,98.69,0.43,0.34
12,6.56,8.949674904,58.21,9.54,4.38,39.87,46.21,5.4,13.9,60.1,39.87,10.2,58.600,41.40,97.15,0.92,0.23
13,8.30,11.63283387,55.11,9.36,1.71,46.82,42.11,9.9,11.1,53.2,46.82,13.7,44.616,55.38,95.68,0.42,0.32
14,6.76,12.01158891,56.31,10.78,2.22,44.68,42.31,10.6,13.0,55.3,44.68,13.2,65.285,34.72,96.98,0.22,0.38
15,9.72,13.20867709,55.76,11.22,1.96,46.06,40.76,8.8,13.2,53.9,46.06,13.0,67.092,32.91,94.47,0.35,0.29
16,9.72,12.26176179,50.77,17.31,4.02,43.9,34.77,4.1,21.3,56.1,43.9,5.4,66.613,33.39,94.47,0.68,0.28
17,9.07,12.39750216,52.01,17.09,3.83,44.06,35.01,4.5,20.9,55.9,44.06,5.0,80.632,19.37,95.02,0.84,0.27
18,15.69,17.72782992,49.19,15.49,3.07,50.25,31.19,5.7,18.6,49.8,50.25,7.1,78.096,21.90,89.39,1,0.26
19,6.16,8.64183024,78.14,10.68,2.97,27.21,59.14,11.3,13.7,72.8,27.21,14.2,37.619,62.38,97.50,0.48,0.31
20,13.61,17.7712121,74.19,12.01,3.88,29.92,54.19,10.6,15.9,70.1,29.92,13.6,74.571,25.43,91.16,0.45,0.26
26,19.96,22.32469147,69.17,16.17,4.64,36.02,43.17,6.7,20.8,64.0,36.02,10.1,90.624,9.38,85.76,0.43,0.20
27,20.16,22.73991577,77.78,14.09,4.34,30.79,50.78,7.4,18.4,69.2,30.79,11.5,86.303,13.70,85.60,0.71,0.23
28,22.09,25.21375505,83.79,14.82,6.07,23.33,55.79,6.8,20.9,76.7,23.33,11.5,92.639,7.36,83.95,0.79,0.16
29,20.57,21.36032462,80.69,18.53,4.09,25.69,51.69,8.8,22.6,74.3,25.69,7.1,87.645,12.36,85.24,0.47,0.21
30,19.21,19.70161994,73.25,18.73,3.15,34.87,43.25,10.7,21.9,65.1,34.87,7.1,78.393,21.61,86.40,0.51,0.19
31,23.92,25.66671773,63.12,16.49,2.1,49.3,32.12,6.9,18.6,50.7,49.3,9.5,88.474,11.53,82.40,0.34,0.16
32,20.03,22.91476111,71.8,16.11,1.73,42.37,39.8,8.8,17.8,57.6,42.37,9.9,84.556,15.44,85.70,0.24,0.19
33,23.09,27.0408268,72.69,14.78,1.73,43.8,39.69,6.8,16.5,56.2,43.8,9.5,78.166,21.83,83.10,0.74,0.14
34,24.93,26.81370536,81.28,15.03,2,35.68,47.28,6.9,17.0,64.3,35.68,8.7,86.560,13.44,81.54,0.81,0.14
35,20.28,22.82254751,65.25,12.8,1.24,55.71,30.25,5.1,14.0,44.3,55.71,5.7,90.471,9.528809008,85.49281484,0.74,0.28
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
