"","model_number","desc","n_params","AICc","R2m","R2c"
"1","mod1",NA,3,-3763.48374410749,0,0.432852550483985
"2","mod2",NA,4,-3759.57510381341,0.000429628915895281,0.430253364536662
"3","mod3",NA,5,-3816.31566561236,0.020892498951551,0.500565526761963
"4","mod4",NA,4,-3827.6605240992,0.0205236230026923,0.498001867166347
"5","mod5",NA,5,-3838.13997292244,0.0233609641123298,0.502784414600772
"6","mod6",NA,6,-3842.59509666835,0.0275357548414166,0.502310806445022
"7","mod7",NA,7,-3837.5099924537,0.02981391879592,0.496780411335923
"8","mod8",NA,9,-3898.08741265437,0.0705905115843675,0.53258613150602
"9","mod9",NA,9,-3832.08106902895,0.0400039399083616,0.496311273286531
"10","mod10",NA,9,-4014.53335504846,0.100330887404258,0.545216640109603
"11","mod11",NA,10,-4004.72408476101,0.0999946175193204,0.546496168854307
"12","mod12",NA,8,-4084.06391990778,0.123358294688317,0.554908944755871
"13","mod13",NA,9,-4102.27836940229,0.127148507437838,0.553889489958097
"14","mod14",NA,10,-4092.89688680324,0.126654107979811,0.555470958400778
"15","mod15",NA,8,-4084.06391990778,0.123358294688317,0.554908944755871
