"","model_number","desc","n_params","AICc","R2m","R2c"
"1","mod1",NA,4,-1450.08257110008,0,0.25178194783814
"2","mod2",NA,5,-1488.27907562886,0.0141732462719901,0.261657301894149
"3","mod3",NA,6,-1443.18936382019,0.04207520236397,0.25340571567216
"4","mod4",NA,8,-1461.34372191972,0.0502721785281187,0.261065849527499
"5","mod5",NA,6,-1553.04416363022,0.0752625482921346,0.42016718120958
"6","mod6",NA,8,-1539.32518773053,0.0829820438220726,0.427730813367765
"7","mod7",NA,9,-1531.68055495656,0.0830364545985078,0.426287879456035
"8","mod8",NA,10,-1561.7861679051,0.0996497403307577,0.355139305694637
"9","mod9",NA,11,-1554.45905508403,0.10004357711025,0.358763282918239
"10","mod10",NA,12,-1564.15795019322,0.0927183381058911,0.351873236219866
"11","mod11",NA,12,-1475.52567864627,0.0571082076780709,0.27337636879759
