"","model_number","desc","n_params","AICc","R2m","R2c"
"1","mod1",NA,2,2516.50962673537,0.0258829556402919,0.0258829556402919
"2","mod2",NA,3,2526.99943102293,0.0140357339151663,0.0140357339151663
"3","mod3",NA,5,2513.58710827246,0.0276956938378302,0.0276956938378302
"4","mod4",NA,3,2451.35033549652,0.0768814248118465,0.0768814248118465
"5","mod5",NA,5,2426.20031794887,0.090200734681038,0.090200734681038
"6","mod6",NA,6,2427.88549744156,0.090563523922125,0.090563523922125
"7","mod7",NA,7,2413.43787554584,0.103054853636802,0.103054853636802
"8","mod8",NA,8,2415.36484060669,0.103299102842634,0.103299102842634
"9","mod9",NA,9,2417.35948674431,0.103428997334805,0.103428997334805
"10","mod10",NA,7,2452.44036255609,0.074100941263219,0.074100941263219
