"","Code","rel_growth_06","rel_growth_11","Species..names.not.updated.","Family","C.Cerrado..G.generalist.","Shade.Tolerance","Freq"
"1","TAOC",0.713569050084688,0.77577583677957,"Handroanthus ochraceus (Cham.) Mattos","BIGNONIACEAE","G","I",36
"2","MYDE",0.814648374649808,0.760370462174397,"Myrciaria delicatula (DC.) O.Berg","MYRTACEAE","G","T",7
"3","ACSU",0.851173520148124,0.845748958794548,"Leptolobium elegans Vogel","FABACEAE","C","I",47
"4","ASTO",0.865932514949196,0.910183563782215,"Aspidosperma tomentosum Mart. & Zucc.","APOCYNACEAE","C","I",4
"5","CABR",0.880948837711445,0.916476556346223,"Caryocar brasiliense Cambess.","CARYOCARACEAE","C","I",8
"6","LAPA",0.883985638945615,0.89586123393858,"Lafoensia pacari A.St.-Hil.","LYTHRACEAE","G","T",5
"7","PLEL",0.884046613692848,0.844634871946414,"Platypodium elegans Vogel","FABACEAE","G","I",47
"8","QUCO",0.884413489407184,0.958330905018003,"Qualea cordata Spreng.","VOCHYSIACEAE","C","I",113
"9","ERGR",0.888462754108798,0.874305425110237,"Eriotheca gracilipes (K.Schum.) A.Robyns","BOMBACACEAE","C","I",116
"10","MABR",0.890206850450913,0.866599434099718,"Machaerium brasiliense Vogel","FABACEAE","G","T",17
"11","DIHI",0.900853559587618,0.858468913784599,"Diospyros lasiocalyx (Mart.) B.Walln.","EBENACEAE","C","I",9
"12","MYLI",0.90109179576536,0.881532605897191,"Myrcia guianensis (Aubl.) DC.","MYRTACEAE","C","I",17
"13","CALA",0.901205184861629,0.885671534414711,"Casearia lasiophylla Eichler","FLACOURTIACEAE","G","T",1
"14","MYGU",0.905675038515384,0.854613700768207,"Myrcia guianensis (Aubl.) DC.","MYRTACEAE","G","T",80
"15","PRMY",0.908487539427347,NA,"Prunus myrtifolia (L.) Urb.","ROSACEAE","G","T",5
"16","PSPO",0.914823636636728,0.878849703411146,"Psidium pohlianum O.Berg","MYRTACEAE","C","I",5
"17","PIRO",0.917475019726066,0.905674906135066,"Piptocarpha rotundifolia (Less.) Baker","ASTERACEAE","C","I",11
"18","OCVE",0.917882585231598,0.950568414454465,"Ocotea velutina (Nees) Rohwer","LAURACEAE","G","T",5
"19","OCCO",0.919360196715864,0.930218786649909,"Ocotea corymbosa (Meisn.) Mez","LAURACEAE","G","T",738
"20","GOPO",0.920129415365282,0.939616600533463,"Moquiniastrum polymorphum (Less.) G. Sancho","ASTERACEAE","G","I",101
"21","MYBE",0.925363262908153,0.995844808377945,"Myrcia bella Cambess.","MYRTACEAE","C","I",43
"22","OUSP",0.926613162749432,0.963380249192593,"Ouratea spectabilis (Mart.) Engl.","OCHNACEAE","C","I",32
"23","RAFE",0.928097660137557,0.945875202162563,"Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.","MYRSINACEAE","G","I",28
"24","MYPR",0.92928389983692,NA,"Myrcia tomentosa (Aubl.) DC.","MYRTACEAE","G","T",1
"25","EUPL",0.930323241296768,0.920598033024708,"Eugenia pluriflora DC.","MYRTACEAE","G","T",13
"26","AUPO",0.931602432780927,1.04079657727002,"Plenckia populnea Reissek","CELASTRACEAE","C","I",7
"27","COSU",0.941076001635239,0.934125690215559,"Connarus suberosus Planch.","CONNARACEAE","C","I",1
"28","EUAU",0.947865292752366,0.86689915460578,"Eugenia aurata O.Berg","MYRTACEAE","C","I",14
"29","MYVE",0.951171801949392,0.904078697072337,"Myrcia venulosa DC.","MYRTACEAE","G","T",36
"30","STCA",0.956669453960771,NA,"Styrax camporum Pohl","STYRACACEAE","C","I",4
"31","TEGL",0.957688069069386,0.920334398286808,"Terminalia glabrescens Mart.","COMBRETACEAE","G","I",37
"32","ALTR",0.95853708332673,0.944381428168914,"Alchornea triplinervia (Spreng.) Müll.Arg.","EUPHORBIACEAE","G","T",2
"33","MAEL",0.959586526339804,0.977042225884616,"Matayba elaeagnoides Radlk.","SAPINDACEAE","G","T",6
"34","GOBA",0.962899090737964,NA,"Moquiniastrum barrosoae (Cabrera) G. Sancho","ASTERACEAE","C","I",1
"35","COLA",0.963048196244663,0.930083576459518,"Copaifera langsdorffii Desf.","FABACEAE","G","T",570
"36","MYMU",0.963804780151175,0.973572413267946,"Myrcia multiflora (Lam.) DC.","MYRTACEAE","G","T",117
"37","MYLA",0.967237299180565,1.0111934147932,"Myrcia lasiantha DC.","MYRTACEAE","C","I",4
"38","COGR",0.969670341560908,0.968535794692796,"Couepia grandiflora (Mart. & Zucc.) Benth.","FABACEAE","G","T",2
"39","ANCR",0.969872076059392,0.973914253370241,"Annona crassiflora Mart.","ANNONACEAE","C","I",34
"40","BOVI",0.970692161064852,0.956569558797565,"Bowdichia virgilioides Kunth","FABACEAE","C","I",6
"41","PRHE",0.973877877415879,0.98621854144999,"Protium heptaphyllum (Aubl.) Marchand","BURSERACEAE","G","T",211
"42","CLSC",0.97536751236415,NA,"Clethra scabra Pers.","CLETHRACEAE","G","T",2
"43","ROMO",0.983998680888429,NA,"Roupala montana Aubl.","PROTEACEAE","C","I",3
"44","MARO",0.984151605115512,0.957605522542498,"Maytenus robusta Reissek","CELASTRACEAE","G","T",4
"45","GUOP",0.989344238939628,0.962105538851835,"Guapira opposita (Vell.) Reitz","NYCTAGINACEAE","G","T",1
"46","RAUM",0.997540029448589,1.03527363551319,"Myrsine umbellata Mart.","MYRSINACEAE","G","T",172
"47","ANAN",0.999286653541072,1.02012429110283,"Andira anthelmia (Vell.) Benth.","FABACEAE","C","I",3
"48","GOLI",1.00069101964279,1.09504617888365,"Myrcia fenzliana O.Berg","MYRTACEAE","G","T",6
"49","LIHU",1.0028623543765,0.992962638752011,"Licania humilis Cham. & Schltdl.","CHRYSOBALANACEAE","C","I",1
"50","CRFL",1.00727915022771,0.877786237433592,"Croton floribundus Spreng.","EUPHORBIACEAE","G","I",2
"51","KICO",1.0088252698852,0.951348455515013,"Kielmeyera coriacea Mart. & Zucc.","CLUSIACEAE","C","I",1
"52","ANCO",1.00918203008365,1.03401248431237,"Annona coriacea Mart.","ANNONACEAE","C","I",1
"53","LUGR",1.00947554791038,0.972564330112504,"Luehea grandiflora Mart. & Zucc.","TILIACEAE","G","T",2
"54","QUMU",1.0164862758728,0.971561958903726,"Qualea multiflora Mart.","VOCHYSIACEAE","C","I",5
"55","PEWI",1.01841877080034,1.20457221857689,"Persea willdenovii Kosterm.","LAURACEAE","G","T",39
"56","EULI",1.02073356096617,0.924227230210296,"Eugenia livida O.Berg","MYRTACEAE","C","I",3
"57","BYBA",1.02121266781165,1.00349953605087,"Byrsonima basiloba A.Juss.","MALPIGHIACEAE","C","I",3
"58","ERSU",1.02900646994375,0.926087738407137,"Erythroxylum suberosum A.St.-Hil.","ERYTHROXYLACEAE","C","I",4
"59","MAAC",1.03069665200507,1.011253796763,"Machaerium acutifolium Vogel","FABACEAE","C","I",181
"60","STOB",1.03230310375926,0.920136804174429,"Stryphnodendron rotundifolium Mart.","FABACEAE","C","I",217
"61","QUGR",1.03690240462692,1.01694166665357,"Qualea grandiflora Mart.","VOCHYSIACEAE","C","I",48
"62","TAAU",1.03815239614369,1.16825112214771,"Tabebuia aurea (Silva Manso) Benth. & Hook.f. ex S.Moore","BIGNONIACEAE","C","I",1
"63","DAFA",1.04276477081301,0.941474983655082,"Daphnopsis fasciculata (Meisn.) Nevling","THYMELAEACEAE","G","T",21
"64","PSLA",1.04298167241732,1.17356475244006,"Pseudolmedia laevigata Trécul","MORACEAE","G","T",31
"65","ILPA",1.04977876830854,1.02393318728417,"Ilex paraguariensis A.St.-Hil.","AQUIFOLIACEAE","G","T",2
"66","SYRO",1.05432164297486,0.965274476733678,"Syagrus romanzoffiana (Cham.) Glassman","ARECACEAE","G","T",14
"67","NECU",1.06151604857549,1.18166861207131,"Nectandra cuspidata Nees","LAURACEAE","G","T",107
"68","PEOB",1.06159338420652,1.03152359583136,"Pera glabrata (Schott) Baill.","EUPHORBIACEAE","G","T",124
"69","XYAR",1.06244149325206,1.02107054610046,"Xylopia aromatica (Lam.) Mart.","ANNONACEAE","C","I",419
