Species,Family,Savanna/Generalist,rel_growth_06,rel_growth_11,Freq
Tabebuia ochracea (Cham.) Standl,BIGNONIACEAE,G,0.72,0.79,36
Myrciaria delicatula (DC.) O. Berg,MYRTACEAE,G,0.82,0.76,7
Acosmium subelegans (Mohlenbr.) Yakovlev,FABACEAE,C,0.85,0.85,47
Aspidosperma tomentosum Mart.,APOCYNACEAE,C,0.88,0.91,4
Caryocar brasiliense Cambess.,CARYOCARACEAE,C,0.89,0.92,8
Qualea cordata (Mart.) Spreng.,VOCHYSIACEAE,C,0.89,0.94,113
Lafoensia pacari A.St.-Hil.,LYTHRACEAE,G,0.89,0.90,5
Eriotheca gracilipes (K.Schum.) A.Robyns,BOMBACACEAE,C,0.89,0.88,116
Machaerium brasiliense Vogel,FABACEAE,G,0.89,0.88,17
Myrcia lingua (O. Berg) Mattos & D. Legrand,MYRTACEAE,C,0.90,0.88,17
Casearia lasiophylla Eichler,FLACOURTIACEAE,G,0.90,0.90,1
Myrcia guianensis (Aubl.) DC.,MYRTACEAE,G,0.91,0.86,80
Platypodium elegans Vogel,FABACEAE,G,0.91,0.88,47
Psidium pohlianum,MYRTACEAE,C,0.92,0.88,5
Diospyros hispida A. DC.,EBENACEAE,C,0.92,0.88,9
Prunus myrtifolia (L.) Urb.,ROSACEAE,G,0.92,NA,5
Ocotea corymbosa (Meisn.) Mez.,LAURACEAE,G,0.92,0.94,738
Piptocarpha rotundifolia (Less.) Baker,ASTERACEAE,C,0.92,0.92,11
Myrcia bella Cambess,MYRTACEAE,C,0.93,1.00,43
Gochnatia polymorpha (Less.) Cabrera,ASTERACEAE,G,0.93,0.96,101
Rapanea ferruginea (Ruiz & Pav.) Mez,MYRSINACEAE,G,0.93,0.93,28
Ouratea spectabilis (Mart. ex Engl.) Engl.,OCHNACEAE,C,0.93,0.98,32
Myrcia prunifolia DC.,MYRTACEAE,G,0.93,NA,1
Austroplenckia populnea (Reissek) Lundell,CELASTRACEAE,C,0.93,1.02,7
Eugenia pluriflora DC.,MYRTACEAE,G,0.94,0.93,13
Terminalia glabrescens Mart.,COMBRETACEAE,G,0.94,0.91,37
Ocotea velutina (Nees) Rohwer,LAURACEAE,G,0.95,0.99,5
Eugenia aurata O.Berg,MYRTACEAE,C,0.95,0.87,14
Connarus suberosus Planch var. suberosus,CONNARACEAE,C,0.95,0.94,1
Myrcia venulosa DC.,MYRTACEAE,G,0.96,0.89,36
Copaifera langsdorffii Desf.,FABACEAE,G,0.96,0.92,570
Myrcia multiflora (Lam.) DC.,MYRTACEAE,G,0.96,0.96,117
Styrax camporum Pohl,STYRACACEAE,C,0.96,NA,4
Protium heptaphyllum (Aubl.) Marchand,BURSERACEAE,G,0.96,0.96,211
Matayba elaeagnoides Radlk,SAPINDACEAE,G,0.96,0.95,6
Bowdichia virgilioides Kunth,FABACEAE,C,0.96,0.93,6
Myrcia lasiantha DC.,MYRTACEAE,C,0.96,1.00,4
Couepia grandiflora (Mart. & Zucc.) Benth. ex Hook. f.,FABACEAE,G,0.97,0.96,2
Gochnatia barrosii Cabrera,ASTERACEAE,C,0.97,NA,1
Alchornea triplinervia (Spreng.) Müll. Arg.,EUPHORBIACEAE,G,0.97,0.98,2
Clethra scabra Pers.,CLETHRACEAE,G,0.98,NA,2
Annona crassiflora Mart.,ANNONACEAE,C,0.98,0.98,34
Roupala montana Aubl.,PROTEACEAE,C,0.99,NA,3
