Plot,Soil Depth,Argila,Silte,Umidade,Argila+Silte,P(Resina),MO,pH,K,Ca,Mg,H+Al,Al,Sum of bases,C.E.C.,Base sat,Al sat,Cu,Zn,Mn,Fe,B,
,,%,%,%,%,P(Resina),MO,pH,K,Ca,Mg,H+Al,Al,Soma Base,C.T.C.,V%,m%,Cu,Zn,Mn,Fe,B,
Plot,Soil Depth,Argila,Silte,Umidade,Argila+Silte,mg/dm3,g/dm3,-,mmolc/dm3,mmolc/dm3,mmolc/dm3,mmolc/dm3,mmolc/dm3,mmolc/dm3,mmolc/dm3,-,-,mg/dm3,mg/dm3,mg/dm3,mg/dm3,mg/dm3,
1,PC 1 60-80cm,11.76,1.93,0.42,13.69,4,16,3.9,1.0,3,1,42,10,5.0,47.0,10.6,66.7,0.7,0.1,3.7,71,0.29,
2,PC 2 60-80cm,10.61,2.72,0.24,13.33,2,5,4.1,0.3,3,1,26,9,4.3,30.3,14.2,67.7,0.5,0.1,1.2,17,0.11,
3,PC 3 60-80cm,10.92,1.83,0.25,12.75,2,5,4.1,0.3,3,1,25,7,4.3,29.3,14.7,61.9,0.5,0.1,1.5,19,0.11,
4,PC 4 60-80cm,11.05,1.96,0.21,13.01,2,6,4.1,0.3,3,1,24,8,4.3,28.3,15.2,65.0,0.5,0.1,1.8,19,0.11,
5,PC 5 60-80cm,10.85,1.79,0.22,12.64,2,6,4.1,0.3,3,1,26,7,4.3,30.3,14.2,61.9,0.5,0.1,1.5,19,0.11,
6,PC 6 60-80cm,12.76,3.33,0.23,16.09,2,7,4.0,0.3,3,1,30,10,4.3,34.3,12.5,69.9,0.4,0.1,1.2,20,0.16,
7,PC 7 60-80cm,12.54,3.09,0.64,15.63,2,5,4.1,0.3,2,1,26,9,3.3,29.3,11.3,73.2,0.3,0.1,0.7,13,0.10,
8,PC 8 60-80cm,12.62,2.45,0.49,15.07,2,7,4.0,0.4,3,1,30,9,4.4,34.4,12.8,67.2,0.6,0.1,1.3,21,0.10,
9,PC 9 60-80cm,12.11,2.42,0.47,14.53,2,7,4.0,0.4,3,1,30,9,4.4,34.4,12.8,67.2,0.5,0.1,1.5,23,0.20,
10,PC 10 60-80cm,11.65,3.28,0.42,14.93,2,7,4.0,0.3,3,1,30,9,4.3,34.3,12.5,67.7,0.4,0.1,1.4,19,0.10,
11,PC 11 60-80cm,10.15,1.5,0.63,11.65,2,7,4.1,0.3,3,1,27,8,4.3,31.3,13.7,65.0,0.4,0.1,1.4,21,0.11,
12,PC 12 60-80cm,10.11,4.19,0.62,14.3,2,5,4.0,0.3,2,1,29,9,3.3,32.3,10.2,73.2,0.4,0.1,0.7,19,0.11,
13,PC 13 60-80cm,10.96,1.96,0.41,12.92,2,6,4.1,0.3,3,1,27,9,4.3,31.3,13.7,67.7,0.4,0.1,1.0,18,0.11,
14,PC 14 60-80cm,12.16,2.38,0.43,14.54,2,6,4.0,0.4,3,1,29,9,4.4,33.4,13.2,67.2,0.5,0.1,1.0,20,0.16,
15,PC 15 60-80cm,12.63,2.41,0.48,15.04,2,7,4.0,0.5,3,1,30,9,4.5,34.5,13.0,66.7,0.5,0.1,0.9,21,0.11,
