,,Potencial Matricial (kPa),,,,,,,,,,Porosidade total,Porosidade,,Água Dispon.,Dens. solo,,,,,
Plot,Horizon,0,-0.5,-2,-4,-6,-10,-30,-100,-500,-1500,,MI,MA,,,θr,θs,alfa,m,n
,,"Umidade, m3.m-3",,,,,,,,,,,m3.m-3,,,Mg.m-3,m3.m-3,,,,
1,A,0.52,0.51,0.45,0.19,0.17,0.16,0.13,0.12,0.11,0.09,0.52,0.17,0.35,0.07,1.42,0.09,0.52,0.5752,0.0781,17.8883
1,C2,0.43,0.42,0.41,0.21,0.19,0.17,0.11,0.1,0.08,0.08,0.43,0.19,0.24,0.09,1.59,0.08,0.43,0.5467,0.0438,22.4244
2,A,0.5,0.49,0.46,0.19,0.18,0.17,0.12,0.1,0.07,0.07,0.5,0.18,0.32,0.09,1.49,0.07,0.5,0.5631,0.055,20.6061
2,C1,0.43,0.42,0.41,0.21,0.2,0.18,0.12,0.11,0.08,0.08,0.43,0.2,0.23,0.09,1.63,0.079,0.43,0.5609,0.0439,20.2145
3,A,0.52,0.51,0.45,0.17,0.16,0.14,0.1,0.1,0.08,0.07,0.52,0.16,0.36,0.06,1.46,0.07,0.52,0.5691,0.0757,18.9211
3,C2,0.43,0.42,0.4,0.18,0.16,0.14,0.09,0.09,0.07,0.07,0.43,0.16,0.27,0.08,1.6,0.07,0.43,0.5446,0.0549,22.2758
5,A1,0.5,0.48,0.41,0.21,0.15,0.14,0.1,0.08,0.07,0.07,0.5,0.15,0.35,0.07,1.45,0.07,0.5,0.6146,0.0866,13.559
5,C1,0.42,0.4,0.39,0.29,0.19,0.12,0.09,0.08,0.07,0.06,0.42,0.19,0.23,0.06,1.57,0.06,0.42,0.3204,0.392,3.6413
6,A,0.5,0.49,0.46,0.19,0.18,0.16,0.13,0.12,0.09,0.07,0.5,0.18,0.32,0.08,1.51,0.07,0.5,0.5635,0.0568,20.0144
6,Bw1,0.43,0.42,0.41,0.23,0.21,0.18,0.12,0.11,0.09,0.08,0.43,0.21,0.22,0.1,1.62,0.079,0.43,0.5596,0.0404,20.2688
7,A,0.53,0.51,0.48,0.29,0.2,0.16,0.12,0.1,0.09,0.08,0.53,0.2,0.33,0.07,1.45,0.079,0.53,0.5499,0.0857,11.7425
7,Bw2,0.44,0.42,0.41,0.34,0.23,0.17,0.11,0.09,0.09,0.09,0.44,0.23,0.21,0.08,1.62,0.09,0.44,0.2683,0.4799,3.1864
8,A1,0.53,0.51,0.46,0.26,0.18,0.15,0.12,0.11,0.1,0.09,0.53,0.18,0.35,0.05,1.41,0.09,0.53,0.5741,0.0924,12.6371
8,Bw1,0.46,0.44,0.43,0.23,0.22,0.19,0.13,0.11,0.1,0.1,0.46,0.22,0.24,0.09,1.58,0.099,0.46,0.5637,0.0498,19.2465
13,A,0.52,0.5,0.47,0.18,0.17,0.15,0.12,0.11,0.08,0.07,0.52,0.17,0.35,0.08,1.49,0.07,0.52,0.5564,0.0639,20.7365
13,Bw2,0.43,0.41,0.4,0.18,0.17,0.15,0.09,0.09,0.07,0.06,0.43,0.17,0.27,0.09,1.52,0.06,0.43,0.5607,0.0519,19.9129
16,A1,0.51,0.5,0.47,0.32,0.24,0.19,0.16,0.13,0.12,0.1,0.51,0.24,0.28,0.09,1.34,0.098,0.51,0.5644,0.0625,12.7868
16,Bw2,0.45,0.43,0.41,0.35,0.27,0.21,0.15,0.12,0.11,0.1,0.45,0.27,0.18,0.11,1.44,0.099,0.45,0.3359,0.3415,2.5864
